channel,name
101,T17-S1C1-001
102,T17-S1C1-002
103,T17-S1C1-003
104,T17-S1C1-004
105,T17-S1C1-005
106,T17-S1C1-006
107,T17-S1C1-007
108,T17-S1C1-008
109,T17-S1C1-009
110,T17-S1C1-010
111,T17-S1C2-011
112,T17-S1C2-012
113,T17-S1C2-013
114,T17-S1C2-014
115,T17-S1C2-015
116,T17-S1C2-016
117,T17-S1C2-017
118,T17-S1C2-018
119,T17-S1C2-019
120,T17-S1C3-020
201,T17-S2C3-021
202,T17-S2C3-022
203,T17-S2C3-023
204,T17-S2C3-024
205,T17-S2C3-025
206,T17-S2C3-026
207,T17-S2C3-027
208,T17-S2C3-028
209,T17-S2C3-029
210,T17-S2C3-030
211,T17-S2C4-031
212,T17-S2C4-032
213,T17-S2C4-033
214,T17-S2C4-034
215,T17-S2C4-035
216,T17-S2C4-036
217,T17-S2C4-037
218,T17-S2C4-038
219,T17-S2C4-039
220,T17-S2C4-040
301,T17-S3C5-041
302,T17-S3C5-042
303,T17-S3C5-043
304,T17-S3C5-044
305,T17-S3C5-045
306,T17-S3C5-046
307,T17-S3C5-047
308,T17-S3C5-048
309,T17-S3C5-049
310,T17-S3C5-050
311,T17-S3C6-051
312,T17-S3C6-052
313,T17-S3C6-053
314,T17-S3C6-054
315,T17-S3C6-055
316,T17-S3C6-056
317,T17-S3C6-057
318,T17-S3C6-058
319,T17-S3C6-059
320,T17-S3C6-060
